n_jobs,wall_seconds,speedup,efficiency
1,737.307748,1.0,1.0
2,381.765653,1.9313,0.9657
4,194.678118,3.7873,0.9468
8,101.737059,7.2472,0.9059
16,58.483898,12.607,0.7879
