n_jobs,wall_seconds,speedup,efficiency
1,307.826198,1.0,1.0
2,164.950027,1.8662,0.9331
4,85.930401,3.5823,0.8956
8,44.345608,6.9415,0.8677
16,21.931661,14.0357,0.8772
