preprocess,feature_map,model,seconds,ok,timed_out,converged,unreliable,accuracy,balanced_accuracy,auc,sensitivity,specificity,error
None (identity),None (identity),Random Forest,4.577052,True,False,True,False,0.75,0.7326315789473684,0.8526315789473685,0.6052631578947368,0.86,
None (identity),None (identity),Gradient Boosting,57.508869,True,False,True,False,0.6590909090909091,0.6526315789473685,0.6694736842105263,0.6052631578947368,0.7,
None (identity),None (identity),Hist Gradient Boosting,34.426573,True,False,True,False,0.7386363636363636,0.7289473684210527,0.7905263157894736,0.6578947368421053,0.8,
None (identity),None (identity),Logistic Regression,0.606473,True,False,True,False,0.7159090909090909,0.7026315789473685,0.7631578947368421,0.6052631578947368,0.8,
None (identity),None (identity),SVM (linear),0.91776,True,False,True,False,0.7613636363636364,0.7552631578947369,0.7721052631578948,0.7105263157894737,0.8,
None (identity),None (identity),SVM (RBF),0.98815,True,False,True,False,0.7613636363636364,0.7394736842105263,0.8236842105263158,0.5789473684210527,0.9,
None (identity),None (identity),Decision Tree,0.880457,True,False,True,False,0.6704545454545454,0.6721052631578948,0.6721052631578947,0.6842105263157895,0.66,
None (identity),None (identity),Naive Bayes,0.151981,True,False,True,False,0.7727272727272727,0.7684210526315789,0.8244736842105264,0.7368421052631579,0.8,
None (identity),None (identity),k-NN,0.100609,True,False,True,False,0.7272727272727273,0.7031578947368421,0.7721052631578946,0.5263157894736842,0.88,
None (identity),None (identity),K-TSP (Top-Scoring Pairs),3.381562,True,False,True,False,0.7727272727272727,0.7684210526315789,0.8260526315789474,0.7368421052631579,0.8,
None (identity),None (identity),Nearest Shrunken Centroid,0.115147,True,False,True,False,0.7727272727272727,0.7778947368421052,0.7778947368421053,0.8157894736842105,0.74,
None (identity),PCA (50 components),Random Forest,5.428848,True,False,True,False,0.7272727272727273,0.7,0.8031578947368422,0.5,0.9,
None (identity),PCA (50 components),Gradient Boosting,1.470183,True,False,True,False,0.7727272727272727,0.7621052631578947,0.7842105263157896,0.6842105263157895,0.84,
None (identity),PCA (50 components),Hist Gradient Boosting,1.070747,True,False,True,False,0.6931818181818182,0.6826315789473685,0.741578947368421,0.6052631578947368,0.76,
None (identity),PCA (50 components),Logistic Regression,0.863359,True,False,True,False,0.6818181818181818,0.6726315789473685,0.7828947368421052,0.6052631578947368,0.74,
None (identity),PCA (50 components),SVM (linear),0.949433,True,False,True,False,0.7159090909090909,0.7057894736842105,0.7357894736842105,0.631578947368421,0.78,
None (identity),PCA (50 components),SVM (RBF),0.915655,True,False,True,False,0.6590909090909091,0.6463157894736842,0.7589473684210526,0.5526315789473685,0.74,
None (identity),PCA (50 components),Decision Tree,0.847918,True,False,True,False,0.6022727272727273,0.5836842105263158,0.5836842105263158,0.4473684210526316,0.72,
None (identity),PCA (50 components),Naive Bayes,0.825554,True,False,True,False,0.7272727272727273,0.7,0.7805263157894737,0.5,0.9,
None (identity),PCA (50 components),k-NN,0.844946,True,False,True,False,0.7159090909090909,0.69,0.7678947368421053,0.5,0.88,
None (identity),PCA (50 components),K-TSP (Top-Scoring Pairs),0.92752,True,False,True,False,0.7613636363636364,0.7678947368421052,0.7794736842105263,0.8157894736842105,0.72,
None (identity),PCA (50 components),Nearest Shrunken Centroid,0.83077,True,False,True,False,0.7727272727272727,0.7778947368421052,0.7778947368421053,0.8157894736842105,0.74,
None (identity),Class-conditional PCA,Random Forest,4.95508,True,False,True,False,0.7727272727272727,0.7589473684210526,0.8268421052631578,0.6578947368421053,0.86,
None (identity),Class-conditional PCA,Gradient Boosting,1.236686,True,False,True,False,0.75,0.7452631578947368,0.8189473684210526,0.7105263157894737,0.78,
None (identity),Class-conditional PCA,Hist Gradient Boosting,0.776208,True,False,True,False,0.7159090909090909,0.6994736842105262,0.7626315789473683,0.5789473684210527,0.82,
None (identity),Class-conditional PCA,Logistic Regression,1.934317,True,False,True,False,0.6477272727272727,0.6394736842105263,0.6973684210526316,0.5789473684210527,0.7,
None (identity),Class-conditional PCA,SVM (linear),2.381047,True,False,False,True,0.6136363636363636,0.6,0.6489473684210526,0.5,0.7,
None (identity),Class-conditional PCA,SVM (RBF),0.675568,True,False,True,False,0.7272727272727273,0.7126315789473684,0.7857894736842105,0.6052631578947368,0.82,
None (identity),Class-conditional PCA,Decision Tree,0.591475,True,False,True,False,0.7159090909090909,0.6994736842105262,0.6994736842105264,0.5789473684210527,0.82,
None (identity),Class-conditional PCA,Naive Bayes,0.57449,True,False,True,False,0.75,0.7326315789473684,0.7894736842105263,0.6052631578947368,0.86,
None (identity),Class-conditional PCA,k-NN,0.589131,True,False,True,False,0.7386363636363636,0.7068421052631578,0.8115789473684211,0.47368421052631576,0.94,
None (identity),Class-conditional PCA,K-TSP (Top-Scoring Pairs),0.620338,True,False,True,False,0.7045454545454546,0.6926315789473685,0.7307894736842105,0.6052631578947368,0.78,
None (identity),Class-conditional PCA,Nearest Shrunken Centroid,0.58127,True,False,True,False,0.7727272727272727,0.7778947368421052,0.7778947368421053,0.8157894736842105,0.74,
None (identity),Rank transform (TSP-style),Random Forest,5.247609,True,False,True,False,0.7613636363636364,0.7426315789473684,0.8489473684210527,0.6052631578947368,0.88,
None (identity),Rank transform (TSP-style),Gradient Boosting,58.16481,True,False,True,False,0.6590909090909091,0.6494736842105263,0.7289473684210526,0.5789473684210527,0.72,
None (identity),Rank transform (TSP-style),Hist Gradient Boosting,35.717992,True,False,True,False,0.7727272727272727,0.7684210526315789,0.8494736842105263,0.7368421052631579,0.8,
None (identity),Rank transform (TSP-style),Logistic Regression,1.308281,True,False,True,False,0.7386363636363636,0.7194736842105263,0.8178947368421052,0.5789473684210527,0.86,
None (identity),Rank transform (TSP-style),SVM (linear),1.880854,True,False,True,False,0.7727272727272727,0.7557894736842106,0.8531578947368421,0.631578947368421,0.88,
None (identity),Rank transform (TSP-style),SVM (RBF),1.97285,True,False,True,False,0.7613636363636364,0.7457894736842106,0.8594736842105263,0.631578947368421,0.86,
None (identity),Rank transform (TSP-style),Decision Tree,1.67789,True,False,True,False,0.6704545454545454,0.6594736842105263,0.6594736842105263,0.5789473684210527,0.74,
None (identity),Rank transform (TSP-style),Naive Bayes,0.950641,True,False,True,False,0.7613636363636364,0.7584210526315789,0.7810526315789474,0.7368421052631579,0.78,
None (identity),Rank transform (TSP-style),k-NN,0.900605,True,False,True,False,0.7272727272727273,0.7189473684210527,0.8039473684210527,0.6578947368421053,0.78,
None (identity),Rank transform (TSP-style),K-TSP (Top-Scoring Pairs),4.196154,True,False,True,False,0.7159090909090909,0.7026315789473685,0.8128947368421053,0.6052631578947368,0.8,
None (identity),Rank transform (TSP-style),Nearest Shrunken Centroid,0.899369,True,False,True,False,0.7954545454545454,0.7947368421052632,0.7884210526315789,0.7894736842105263,0.8,
None (identity),Select best 500 genes,Random Forest,4.667187,True,False,True,False,0.8181818181818182,0.8084210526315789,0.846842105263158,0.7368421052631579,0.88,
None (identity),Select best 500 genes,Gradient Boosting,2.884576,True,False,True,False,0.625,0.6068421052631578,0.6576315789473683,0.47368421052631576,0.74,
None (identity),Select best 500 genes,Hist Gradient Boosting,1.089353,True,False,True,False,0.7613636363636364,0.7521052631578947,0.8105263157894738,0.6842105263157895,0.82,
None (identity),Select best 500 genes,Logistic Regression,0.388327,True,False,True,False,0.6590909090909091,0.6463157894736842,0.765263157894737,0.5526315789473685,0.74,
None (identity),Select best 500 genes,SVM (linear),0.302874,True,False,True,False,0.625,0.61,0.7421052631578947,0.5,0.72,
None (identity),Select best 500 genes,SVM (RBF),0.267073,True,False,True,False,0.7613636363636364,0.7457894736842106,0.8173684210526315,0.631578947368421,0.86,
None (identity),Select best 500 genes,Decision Tree,0.199041,True,False,True,False,0.5568181818181818,0.5436842105263158,0.5436842105263159,0.4473684210526316,0.64,
None (identity),Select best 500 genes,Naive Bayes,0.307368,True,False,True,False,0.7272727272727273,0.7284210526315789,0.8152631578947368,0.7368421052631579,0.72,
None (identity),Select best 500 genes,k-NN,0.174037,True,False,True,False,0.6704545454545454,0.6563157894736842,0.7902631578947369,0.5526315789473685,0.76,
None (identity),Select best 500 genes,K-TSP (Top-Scoring Pairs),3.449107,True,False,True,False,0.7954545454545454,0.791578947368421,0.8786842105263157,0.7631578947368421,0.82,
None (identity),Select best 500 genes,Nearest Shrunken Centroid,0.162986,True,False,True,False,0.7386363636363636,0.7447368421052631,0.7447368421052631,0.7894736842105263,0.7,
