n_jobs,wall_seconds,speedup,efficiency
1,1503.63629,1.0,1.0
2,776.576937,1.9362,0.9681
4,393.399483,3.8222,0.9555
8,205.548126,7.3153,0.9144
16,126.304099,11.9049,0.7441
