preprocess,feature_map,model,seconds,ok,timed_out,converged,unreliable,accuracy,balanced_accuracy,auc,sensitivity,specificity,error
None (identity),Rank transform (TSP-style),SVM (linear),0.816813,True,False,True,False,0.9722222222222222,0.96,0.9948936170212767,0.92,1.0,
None (identity),Rank transform (TSP-style),SVM (RBF),0.841512,True,False,True,False,0.9722222222222222,0.96,0.9948936170212767,0.92,1.0,
None (identity),Rank transform (TSP-style),Decision Tree,0.628914,True,False,True,False,0.8333333333333334,0.8255319148936171,0.825531914893617,0.8,0.851063829787234,
None (identity),Rank transform (TSP-style),Naive Bayes,0.438688,True,False,True,False,0.9166666666666666,0.8893617021276596,0.9272340425531915,0.8,0.9787234042553191,
None (identity),Rank transform (TSP-style),k-NN,0.417213,True,False,True,False,0.9583333333333334,0.9493617021276596,0.9829787234042553,0.92,0.9787234042553191,
None (identity),Rank transform (TSP-style),K-TSP (Top-Scoring Pairs),3.441992,True,False,True,False,0.9305555555555556,0.9374468085106382,0.9774468085106384,0.96,0.9148936170212766,
None (identity),Rank transform (TSP-style),Nearest Shrunken Centroid,0.412333,True,False,True,False,0.9583333333333334,0.9493617021276596,0.9689361702127659,0.92,0.9787234042553191,
None (identity),Select best 500 genes,Random Forest,4.545005,True,False,True,False,0.9861111111111112,0.98,0.9957446808510638,0.96,1.0,
None (identity),Select best 500 genes,Gradient Boosting,1.555228,True,False,True,False,0.8194444444444444,0.8242553191489361,0.8331914893617021,0.84,0.8085106382978723,
None (identity),Select best 500 genes,Hist Gradient Boosting,0.773965,True,False,True,False,0.9583333333333334,0.9587234042553192,0.9306382978723404,0.96,0.9574468085106383,
None (identity),Select best 500 genes,Logistic Regression,0.134519,True,False,True,False,0.9861111111111112,0.98,0.9957446808510638,0.96,1.0,
None (identity),Select best 500 genes,SVM (linear),0.200737,True,False,True,False,0.9722222222222222,0.96,0.9931914893617021,0.92,1.0,
None (identity),Select best 500 genes,SVM (RBF),0.192183,True,False,True,False,0.9722222222222222,0.96,0.9923404255319149,0.92,1.0,
None (identity),Select best 500 genes,Decision Tree,0.119639,True,False,True,False,0.8194444444444444,0.8148936170212766,0.8148936170212766,0.8,0.8297872340425532,
