n_jobs,wall_seconds,speedup,efficiency
1,641.669673,1.0,1.0
2,337.263498,1.9026,0.9513
4,171.329987,3.7452,0.9363
8,89.835654,7.1427,0.8928
16,47.176951,13.6013,0.8501
