n_jobs,wall_seconds,speedup,efficiency
1,2757.973415,1.0,1.0
2,1455.197458,1.8953,0.9476
4,711.279247,3.8775,0.9694
8,379.745159,7.2627,0.9078
16,234.787698,11.7467,0.7342
