n_jobs,wall_seconds,speedup,efficiency
1,814.467649,1.0,1.0
2,417.520096,1.9507,0.9754
4,217.497722,3.7447,0.9362
8,112.624821,7.2317,0.904
16,61.805628,13.1779,0.8236
