n_jobs,wall_seconds,speedup,efficiency
1,1539.127039,1.0,1.0
2,794.63985,1.9369,0.9684
4,402.249872,3.8263,0.9566
8,215.307317,7.1485,0.8936
16,118.200551,13.0213,0.8138
